序号,字,拼音,组词1,组词1拼音,组词2,组词2拼音,备注
478,象,xiàng,现象,xiàn xiàng,对象,duì xiàng,
479,写,xiě / xiè,写作,xiě zuò,书写,shū xiě,
480,除,chú,除了,chú le,解除,jiě chú,
481,境,jìng,境内,jìng nèi,边境,biān jìng,
482,思,sī,意思,yì si,思想,sī xiǎng,
483,赛,sài,比赛,bǐ sài,决赛,jué sài,
484,装,zhuāng,装备,zhuāng bèi,安装,ān zhuāng,
485,谁,shéi,谁家,shuí jiā,谁知,shuí zhī,
486,跟,gēn,跟着,gēn zhe,跟进,gēn jìn,
487,便,biàn / pián,方便,fāng biàn,便是,biàn shì,
488,杀,shā,自杀,zì shā,杀人,shā rén,
489,击,jī,打击,dǎ jī,反击,fǎn jī,
490,响,xiǎng,影响,yǐng xiǎng,响应,xiǎng yìng,
491,职,zhí,职业,zhí yè,职务,zhí wù,
492,助,zhù,资助,zī zhù,助理,zhù lǐ,
493,易,yì,容易,róng yì,交易,jiāo yì,
494,版,bǎn,版本,bǎn běn,出版,chū bǎn,
495,希,xī,希望,xī wàng,希拉,xī lā,
496,属,shǔ / zhǔ,属于,shǔ yú,金属,jīn shǔ,
497,住,zhù,记住,jì zhù,不住,bú zhù,
498,洲,zhōu,亚洲,yà zhōu,非洲,fēi zhōu,
499,巴,bā,巴西,bā xī,巴士,bā shì,
500,星,xīng,星期,xīng qī,明星,míng xīng,
501,企,qǐ,企业,qǐ yè,企图,qǐ tú,
502,引,yǐn,引起,yǐn qǐ,引发,yǐn fā,
503,找,zhǎo,找到,zhǎo dào,找出,zhǎo chū,
504,试,shì,试图,shì tú,试试,shì shì,
505,考,kǎo,考试,kǎo shì,参考,cān kǎo,
506,列,liè,系列,xì liè,列为,liè wèi,
507,罗,luó,罗马,luó mǎ,保罗,bǎo luó,
508,存,cún,存在,cún zài,生存,shēng cún,
509,须,xū,必须,bì xū,无须,wú xū,
510,越,yuè,越来越,yuè lái yuè,越南,yuè nán,
511,态,tài,态度,tài dù,生态,shēng tài,
512,群,qún,群众,qún zhòng,一群,yī qún,
513,县,xiàn,县委,xiàn wěi,县城,xiàn chéng,
514,功,gōng,成功,chéng gōng,功能,gōng néng,
515,纪,jì / jǐ,世纪,shì jì,年纪,nián jì,
516,复,fù,重复,chóng fù,报复,bào fù,
517,超,chāo,超过,chāo guò,超级,chāo jí,
518,害,hài,杀害,shā hài,受害者,shòu hài zhě,
519,戏,xì,游戏,yóu xì,演戏,yǎn xì,
520,显,xiǎn,显示,xiǎn shì,明显,míng xiǎn,
521,族,zú,民族,mín zú,家族,jiā zú,
522,维,wéi,维护,wéi hù,维持,wéi chí,
523,深,shēn,深入,shēn rù,深度,shēn dù,
524,责,zé,责任,zé rèn,职责,zhí zé,
525,值,zhí,价值,jià zhí,值得,zhí de,
526,买,mǎi,买下,mǎi xià,收买,shōu mǎi,
527,足,zú / jù,足球,zú qiú,不足,bù zú,
528,环,huán,环境,huán jìng,环保,huán bǎo,
529,模,mó / mú,模式,mó shì,规模,guī mó,
530,极,jí,极为,jí wéi,极大,jí dà,
531,协,xié,协议,xié yì,协会,xié huì,
532,花,huā,花费,huā fèi,花钱,huā qián,
533,断,duàn,不断,bú duàn,中断,zhōng duàn,
534,客,kè,游客,yóu kè,客观,kè guān,
535,警,jǐng,警方,jǐng fāng,警告,jǐng gào,
536,吃,chī,好吃,hǎo chī,不吃,bù chī,
537,王,wáng / wàng,国王,guó wáng,王国,wáng guó,
538,百,bǎi,百度,bǎi dù,百万,bǎi wàn,
539,段,duàn,手段,shǒu duàn,一段,yī duàn,
540,验,yàn,经验,jīng yàn,实验,shí yàn,
541,切,qiè / qiē,一切,yī qiè,切实,qiè shí,
542,往,wǎng,前往,qián wǎng,往往,wǎng wǎng,
543,早,zǎo,早上,zǎo shàng,早就,zǎo jiù,
544,终,zhōng,最终,zuì zhōng,终于,zhōng yú,
545,另,lìng,另外,lìng wài,另类,lìng lèi,
546,远,yuǎn,远离,yuǎn lí,远远,yuǎn yuǎn,
547,够,gòu,能够,néng gòu,不够,bú gòu,
548,独,dú,独立,dú lì,独特,dú tè,
549,精,jīng,精神,jīng shén,精力,jīng lì,
550,习,xí,学习,xué xí,实习,shí xí,
551,营,yíng,经营,jīng yíng,运营,yùn yíng,
552,括,kuò,包括,bāo kuò,括号,kuò hào,
553,革,gé,革命,gé mìng,改革,gǎi gé,
554,岁,suì,万岁,wàn suì,岁月,suì yuè,
555,曾,céng / zēng,曾经,céng jīng,不曾,bù céng,
556,评,píng,评论,píng lùn,评价,píng jià,
557,随,suí,随着,suí zhe,随后,suí hòu,
558,例,lì,例如,lì rú,比例,bǐ lì,
559,黑,hēi,黑人,hēi rén,黑色,hēi sè,
560,错,cuò,不错,bú cuò,没错,méi cuò,
561,继,jì,继续,jì xù,相继,xiāng jì,
562,米,mǐ,小米,xiǎo mǐ,平方米,píng fāng mǐ,
563,林,lín,林业,lín yè,斯大林,sī dà lín,
564,预,yù,预算,yù suàn,预计,yù jì,
565,玩,wán,玩家,wán jiā,玩具,wán jù,
566,故,gù,故事,gù shì,事故,shì gù,
567,份,fèn,身份,shēn fèn,一份,yī fèn,
568,速,sù,速度,sù dù,快速,kuài sù,
569,闻,wén,新闻,xīn wén,闻名,wén míng,
570,效,xiào,有效,yǒu xiào,效果,xiào guǒ,
571,致,zhì,导致,dǎo zhì,一致,yí zhì,
572,火,huǒ,火车,huǒ chē,火山,huǒ shān,
573,妈,mā,妈妈,mā mā,他妈的,tā mā de,
574,阿,ā / ē,阿里,ā lǐ,阿拉,ā lā,
575,呢,ne / ní,花呢,huā ní,呢子,ní zi,
576,拿,ná,加拿大,jiā ná dà,拿到,ná dào,
577,兰,lán,米兰,mǐ lán,爱尔兰,ài ěr lán,
578,采,cǎi / cài,采用,cǎi yòng,采取,cái qǔ,
579,热,rè,热情,rè qíng,热爱,rè ài,
580,房,fáng,房子,fáng zi,房间,fáng jiān,
581,病,bìng,病人,bìng rén,病例,bìng lì,
582,户,hù,用户,yòng hù,客户,kè hù,
583,限,xiàn,限制,xiàn zhì,有限,yǒu xiàn,
584,艺,yì,艺术,yì shù,工艺,gōng yì,
585,严,yán,严重,yán zhòng,严格,yán gé,
586,仅,jǐn,不仅,bù jǐn,仅仅,jín jǐn,
587,录,lù,记录,jì lù,目录,mù lù,
588,势,shì,势力,shì lì,形势,xíng shì,
589,控,kòng,控制,kòng zhì,指控,zhǐ kòng,
590,江,jiāng,长江,cháng jiāng,江南,jiāng nán,
591,察,chá,警察,jǐng chá,观察,guān chá,
592,满,mǎn,满足,mǎn zú,满意,mǎn yì,
593,优,yōu,优势,yōu shì,优先,yōu xiān,
594,兴,xīng / xìng,高兴,gāo xìng,兴建,xīng jiàn,
595,绝,jué,绝对,jué duì,绝不,jué bù,
596,土,tǔ,土地,tǔ dì,领土,lǐng tǔ,
597,施,shī,实施,shí shī,设施,shè shī,
598,宣,xuān,宣布,xuān bù,宣传,xuān chuán,
599,武,wǔ,武器,wǔ qì,武装,wǔ zhuāng,
600,止,zhǐ,为止,wéi zhǐ,终止,zhōng zhǐ,
601,负,fù,负责,fù zé,负责人,fù zé rén,
602,尼,ní,尼亚,ní yà,尼克,ní kè,
603,谢,xiè,谢谢,xiè xiè,感谢,gǎn xiè,
604,食,shí / sì,食品,shí pǐn,食物,shí wù,
605,简,jiǎn,简单,jiǎn dān,简直,jiǎn zhí,
606,叫,jiào,叫做,jiào zuò,名叫,míng jiào,
607,欧,ōu,欧洲,ōu zhōu,欧元,ōu yuán,
608,画,huà,动画,dòng huà,画面,huà miàn,
609,古,gǔ,古代,gǔ dài,古老,gǔ lǎo,
610,母,mǔ,母亲,mǔ qīn,字母,zì mǔ,
611,低,dī,最低,zuì dī,低于,dī yú,
612,帮,bāng,帮助,bāng zhù,黑帮,hēi bāng,
613,留,liú,留下,liú xià,保留,bǎo liú,
614,积,jī,面积,miàn jī,积极,jī jí,
615,志,zhì,同志,tóng zhì,标志,biāo zhì,
616,虽,suī,虽然,suī rán,虽说,suī shuō,
617,朋,péng,朋友,péng yǒu,女朋友,nǚ péng yǒu,
618,否,fǒu / pǐ,是否,shì fǒu,否则,fǒu zé,
619,令,lìng / líng / lǐng,命令,mìng lìng,令人,lìng rén,
620,读,dú / dòu,读者,dú zhě,读书,dú shū,
621,伤,shāng,伤害,shāng hài,受伤,shòu shāng,
622,夫,fū / fú,夫人,fū rén,功夫,gōng fu,
623,眼,yǎn,眼前,yǎn qián,眼中,yǎn zhōng,
624,置,zhì,位置,wèi zhì,设置,shè zhì,
625,播,bō,传播,chuán bō,直播,zhí bō,
626,底,dǐ / de,到底,dào dǐ,年底,nián dǐ,
627,域,yù,区域,qū yù,领域,lǐng yù,
628,频,pín,视频,shì pín,频道,pín dào,
629,派,pài / pā,派出,pài chū,党派,dǎng pài,
630,居,jū / jī,居民,jū mín,居住,jū zhù,
631,监,jiān / jiàn,监管,jiān guǎn,监控,jiān kòng,
632,飞,fēi,飞机,fēi jī,飞行,fēi xíng,
633,晚,wǎn,晚上,wǎn shàng,今晚,jīn wǎn,
634,策,cè,政策,zhèng cè,决策,jué cè,
635,卡,kǎ / qiǎ,卡尔,kǎ ěr,卡拉,kǎ lā,
636,尽,jǐn / jìn,尽管,jín guǎn,尽快,jǐn kuài,
637,刚,gāng,刚刚,gāng gāng,刚才,gāng cái,
638,讲,jiǎng,讲话,jiǎng huà,演讲,yǎn jiǎng,
639,苏,sū,苏联,sū lián,复苏,fù sū,
640,股,gǔ,股份,gǔ fèn,股东,gǔ dōng,
641,谈,tán,谈话,tán huà,谈论,tán lùn,
642,送,sòng,送给,sòng gěi,送到,sòng dào,
643,诉,sù,告诉,gào sù,起诉,qǐ sù,
644,河,hé,河流,hé liú,河道,hé dào,
645,密,mì,密切,mì qiè,密度,mì dù,
646,落,luò / là / lào,落实,luò shí,部落,bù luò,
647,半,bàn,一半,yí bàn,半年,bàn nián,
648,念,niàn,纪念,jì niàn,观念,guān niàn,
649,剧,jù,戏剧,xì jù,剧情,jù qíng,
650,村,cūn,农村,nóng cūn,村民,cūn mín,
651,依,yī,依据,yī jù,依然,yī rán,
652,湾,wān,台湾,tái wān,海湾,hǎi wān,
653,印,yìn,印度,yìn dù,印象,yìn xiàng,
654,哥,gē,哥哥,gē gē,大哥,dà gē,
655,破,pò,打破,dǎ pò,破产,pò chǎn,
656,编,biān,编制,biān zhì,编号,biān hào,
657,待,dài / dāi,等待,děng dài,对待,duì dài,
658,初,chū,当初,dāng chū,初期,chū qī,
659,双,shuāng,双方,shuāng fāng,双手,shuāng shǒu,
660,防,fáng,防止,fáng zhǐ,预防,yù fáng,
661,普,pǔ,普通,pǔ tōng,普及,pǔ jí,
662,围,wéi,周围,zhōu wéi,包围,bāo wéi,
663,批,pī,批评,pī píng,批准,pī zhǔn,
664,愿,yuàn,愿意,yuàn yì,愿望,yuàn wàng,
665,红,hóng / gōng,红色,hóng sè,红军,hóng jūn,
666,轻,qīng,年轻,nián qīng,年轻人,nián qīng rén,
667,承,chéng,承认,chéng rèn,继承,jì chéng,
668,青,qīng,青年,qīng nián,青少年,qīng shào nián,
669,免,miǎn / wèn,免费,miǎn fèi,以免,yǐ miǎn,
670,室,shì,办公室,bàn gōng shì,实验室,shí yàn shì,
671,范,fàn,范围,fàn wéi,规范,guī fàn,
672,修,xiū,修改,xiū gǎi,维修,wéi xiū,
673,压,yā / yà,压力,yā lì,压制,yā zhì,
674,石,shí / dàn,石头,shí tou,化石,huà shí,
675,状,zhuàng,状态,zhuàng tài,状况,zhuàng kuàng,
676,排,pái,安排,ān pái,排名,pái míng,
677,率,lǜ / shuài,效率,xiào lǜ,频率,pín lǜ,
678,险,xiǎn,风险,fēng xiǎn,保险,bǎo xiǎn,
679,福,fú,福利,fú lì,福音,fú yīn,
680,父,fù,父亲,fù qīn,父母,fù mǔ,
681,适,shì / kuò,适合,shì hé,适应,shì yìng,
682,担,dān / dàn,担心,dān xīn,担任,dān rèn,
683,六,liù / lù,六月,liù yuè,六个,liù gè,
684,角,jiǎo / jué,角色,jué sè,角度,jiǎo dù,
685,层,céng,基层,jī céng,层面,céng miàn,
686,判,pàn,判断,pàn duàn,谈判,tán pàn,
687,卫,wèi,卫生,wèi shēng,卫星,wèi xīng,
688,财,cái,财产,cái chǎn,财政,cái zhèng,
689,占,zhàn / zhān,占领,zhàn lǐng,占据,zhàn jù,
690,园,yuán,公园,gōng yuán,校园,xiào yuán,
691,络,luò / lào,网络,wǎng luò,联络,lián luò,
692,奖,jiǎng,奖金,jiǎng jīn,大奖,dà jiǎng,
693,阳,yáng,太阳,tài yáng,阳光,yáng guāng,
694,执,zhí,执行,zhí xíng,执政,zhí zhèng,
695,假,jiǎ / jià,假设,jiǎ shè,假如,jiǎ rú,
696,席,xí,主席,zhǔ xí,出席,chū xí,
697,仍,réng,仍然,réng rán,仍会,réng huì,
698,突,tū,突然,tū rán,突破,tū pò,
699,测,cè,测试,cè shì,预测,yù cè,
700,班,bān,上班,shàng bān,下班,xià bān,
701,旅,lǚ,旅游,lǚ yóu,旅行,lǚ xíng,
702,升,shēng,提升,tí shēng,升级,shēng jí,
703,配,pèi,配合,pèi hé,分配,fēn pèi,
704,停,tíng,停止,tíng zhǐ,不停,bù tíng,
705,似,shì / sì,类似,lèi sì,相似,xiāng sì,
706,笑,xiào,笑话,xiào huà,可笑,kě xiào,
707,审,shěn,审查,shěn chá,审判,shěn pàn,
708,歌,gē,歌手,gē shǒu,首歌,shǒu gē,
709,般,bān / pán / bō,一般,yì bān,般的,bān de,
710,铁,tiě,铁路,tiě lù,地铁,dì tiě,
711,换,huàn,交换,jiāo huàn,转换,zhuǎn huàn,
712,银,yín,银行,yín háng,银河,yín hé,
713,均,jūn,平均,píng jūn,人均,rén jūn,
714,千,qiān,千万,qiān wàn,千年,qiān nián,
715,养,yǎng,营养,yíng yǎng,养老,yǎng lǎo,
716,博,bó,博士,bó shì,博客,bó kè,
717,威,wēi,权威,quán wēi,示威,shì wēi,
718,富,fù,财富,cái fù,富有,fù yǒu,
719,微,wēi,微信,wēi xìn,微博,wēi bó,
720,黄,huáng,黄金,huáng jīn,黄色,huáng sè,
721,移,yí,移民,yí mín,移动,yí dòng,
722,罪,zuì,罪行,zuì xíng,罪名,zuì míng,
723,票,piào,投票,tóu piào,股票,gǔ piào,
724,岛,dǎo,岛上,dǎo shàng,半岛,bàn dǎo,
725,择,zé,选择,xuǎn zé,选择性,xuǎn zé xìng,
726,奇,qí / jī,传奇,chuán qí,好奇,hào qí,
727,紧,jǐn,紧张,jǐn zhāng,紧密,jǐn mì,
728,韩,hán,韩国,hán guó,北韩,běi hán,
729,久,jiǔ,不久,bù jiǔ,多久,duō jiǔ,
730,抗,kàng,抗议,kàng yì,对抗,duì kàng,
731,汉,hàn,汉语,hàn yǔ,汉族,hàn zú,
732,副,fù,一副,yī fù,副本,fù běn,
733,犯,fàn,犯罪,fàn zuì,罪犯,zuì fàn,
734,亿,yì,亿元,yì yuán,亿万,yì wàn,
735,波,bō,波兰,bō lán,波动,bō dòng,
736,乎,hū,几乎,jī hū,似乎,sì hū,
737,八,bā,十八,shí bā,八年,bā nián,
738,款,kuǎn,条款,tiáo kuǎn,一款,yī kuǎn,
739,甚,shèn / shén,甚至,shèn zhì,甚么,shén me,
740,检,jiǎn,检查,jiǎn chá,检测,jiǎn cè,
741,馆,guǎn,博物馆,bó wù guǎn,旅馆,lǚ guǎn,
742,油,yóu,石油,shí yóu,加油,jiā yóu,
743,著,zhù / zhuó,著名,zhù míng,著作,zhù zuò,
744,差,chà / chā / chāi,差别,chā bié,差不多,chà bu duō,
745,斗,dòu / dǒu,战斗,zhàn dòu,斗争,dòu zhēng,
746,销,xiāo,营销,yíng xiāo,销量,xiāo liàng,
747,购,gòu,购买,gòu mǎi,收购,shōu gòu,
748,救,jiù,救助,jiù zhù,救济,jiù jì,
749,坚,jiān,坚持,jiān chí,坚决,jiān jué,
750,讨,tǎo,讨论,tǎo lùn,检讨,jiǎn tǎo,
751,庭,tíng,家庭,jiā tíng,法庭,fǎ tíng,
752,镇,zhèn,城镇,chéng zhèn,镇压,zhèn yā,
753,药,yào,药物,yào wù,药品,yào pǐn,
754,景,jǐng,场景,cháng jǐng,风景,fēng jǐng,
755,章,zhāng,文章,wén zhāng,章程,zhāng chéng,
756,陆,lù / liù,大陆,dà lù,陆续,lù xù,
757,店,diàn,商店,shāng diàn,书店,shū diàn,
758,介,jiè,简介,jiǎn jiè,介入,jiè rù,
759,益,yì,利益,lì yì,权益,quán yì,
760,纳,nà,纳入,nà rù,容纳,róng nà,
761,朝,cháo / zhāo,王朝,wáng cháo,明朝,míng cháo,
762,宝,bǎo,宝宝,bǎo bǎo,宝石,bǎo shí,
763,俄,é,俄罗斯,é luó sī,俄国,é guó,
764,述,shù,上述,shàng shù,讲述,jiǎng shù,
765,央,yāng,中央,zhōng yāng,央视,yāng shì,
766,素,sù,因素,yīn sù,素质,sù zhì,
767,哈,hā / hǎ,哈哈,hā hā,哈利,hā lì,
768,脑,nǎo,电脑,diàn nǎo,大脑,dà nǎo,
769,拍,pāi,拍照,pāi zhào,自拍,zì pāi,
770,互,hù,互相,hù xiāng,互联网,hù lián wǎng,
771,乡,xiāng,乡村,xiāng cūn,家乡,jiā xiāng,
772,按,àn,按照,àn zhào,按时,àn shí,
773,坏,huài,破坏,pò huài,坏人,huài rén,
774,兵,bīng,士兵,shì bīng,步兵,bù bīng,
775,怕,pà,害怕,hài pà,可怕,kě pà,
776,核,hé,核心,hé xīn,考核,kǎo hé,
777,善,shàn,改善,gǎi shàn,完善,wán shàn,
778,酒,jiǔ,酒店,jiǔ diàn,酒吧,jiǔ bā,
779,激,jī,激动,jī dòng,激发,jī fā,
780,细,xì,细节,xì jié,细致,xì zhì,
781,拥,yōng,拥有,yōng yǒu,拥护,yōng hù,
782,街,jiē,街道,jiē dào,街头,jiē tóu,
783,卖,mài,买卖,mǎi mài,出卖,chū mài,
784,载,zài / zǎi,下载,xià zài,记载,jì zǎi,
785,钟,zhōng,分钟,fēn zhōng,时钟,shí zhōng,
786,临,lín,面临,miàn lín,临时,lín shí,
787,享,xiǎng,分享,fēn xiǎng,享受,xiǎng shòu,
788,释,shì,解释,jiě shì,释放,shì fàng,
789,背,bèi / bēi,背景,bèi jǐng,背后,bèi hòu,
790,婚,hūn,结婚,jié hūn,离婚,lí hūn,
791,伊,yī,伊拉克,yī lā kè,伊斯兰,yī sī lán,
792,血,xuè / xiě,流血,liú xiě,血统,xuè tǒng,
793,充,chōng,充满,chōng mǎn,充分,chōng fèn,
794,货,huò,货物,huò wù,货车,huò chē,
795,您,nín,您好,nín hǎo,,,
796,龙,lóng,黑龙江,hēi lóng jiāng,龙头,lóng tóu,
797,攻,gōng,攻击,gōng jī,进攻,jìn gōng,
798,降,jiàng / xiáng,降低,jiàng dī,下降,xià jiàng,
799,射,shè,发射,fā shè,射击,shè jī,
800,恶,è / ě / wù,恶心,ě xīn,恶化,è huà,
801,危,wēi,危险,wēi xiǎn,危机,wēi jī,
802,略,lüè,战略,zhàn lüè,策略,cè lüè,
803,败,bài,失败,shī bài,打败,dǎ bài,
804,奥,ào,奥运,ào yùn,奥运会,ào yùn huì,
805,弹,dàn / tán,导弹,dǎo dàn,子弹,zǐ dàn,
806,付,fù,支付,zhī fù,对付,duì fù,
807,帝,dì,帝国,dì guó,上帝,shàng dì,
808,毛,máo,毛病,máo bìng,毛利,máo lì,
809,刻,kè,时刻,shí kè,立刻,lì kè,
810,某,mǒu,某些,mǒu xiē,某个,mǒu gè,
811,减,jiǎn,减少,jiǎn shǎo,减轻,jiǎn qīng,
812,冲,chōng / chòng,冲突,chōng tū,冲击,chōng jī,
813,输,shū,运输,yùn shū,输入,shū rù,
814,永,yǒng,永远,yóng yuǎn,永久,yǒng jiǔ,
815,媒,méi,媒体,méi tǐ,传媒,chuán méi,
816,秘,mì / bì,秘密,mì mì,秘书,mì shū,
817,遇,yù,遇到,yù dào,待遇,dài yù,
818,靠,kào,依靠,yī kào,可靠,kě kào,
819,答,dá / dā,回答,huí dá,答案,dá àn,
820,座,zuò,一座,yī zuò,这座,zhè zuò,
821,典,diǎn,经典,jīng diǎn,典型,diǎn xíng,
822,码,mǎ,密码,mì mǎ,代码,dài mǎ,
823,征,zhēng,特征,tè zhēng,象征,xiàng zhēng,
824,访,fǎng,访问,fǎng wèn,采访,cái fǎng,
825,筑,zhù,建筑,jiàn zhù,建筑物,jiàn zhù wù,
826,短,duǎn,短期,duǎn qī,短片,duǎn piàn,
827,析,xī,分析,fēn xī,解析,jiě xī,
828,训,xùn,教训,jiào xùn,军训,jūn xùn,
829,胜,shèng,胜利,shèng lì,战胜,zhàn shèng,
830,疗,liáo,医疗,yī liáo,治疗,zhì liáo,
831,温,wēn,温度,wēn dù,气温,qì wēn,
832,弟,dì / tì,弟弟,dì di,弟子,dì zǐ,
833,异,yì,差异,chā yì,异常,yì cháng,
834,阶,jiē,阶段,jiē duàn,阶级,jiē jí,
835,劳,láo,劳动,láo dòng,劳工,láo gōng,
836,退,tuì,退出,tuì chū,后退,hòu tuì,
837,穿,chuān,穿着,chuān zhe,穿越,chuān yuè,
838,束,shù,结束,jié shù,约束,yuē shù,
839,倒,dào / dǎo,打倒,dá dǎo,倒退,dào tuì,
840,七,qī,七月,qī yuè,七个,qī gè,
841,航,háng,航空,háng kōng,航班,háng bān,
842,姐,jiě,小姐,xiǎo jiě,姐姐,jiě jiě,
843,夜,yè,一夜,yī yè,夜晚,yè wǎn,
844,云,yún,风云,fēng yún,云南省,yún nán shěng,
845,厂,chǎng / hǎn,工厂,gōng chǎng,厂商,chǎng shāng,
846,疑,yí,质疑,zhì yí,无疑,wú yí,
847,词,cí,歌词,gē cí,名词,míng cí,
848,九,jiǔ,九月,jiǔ yuè,十九,shí jiǔ,
849,藏,cáng / zàng,收藏,shōu cáng,宝藏,bǎo zàng,
850,毒,dú,病毒,bìng dú,毒品,dú pǐn,
851,额,é,金额,jīn é,总额,zǒng é,
852,左,zuǒ,左派,zuǒ pài,左边,zuǒ biān,
853,楼,lóu,大楼,dà lóu,楼下,lóu xià,
854,牌,pái,品牌,pǐn pái,金牌,jīn pái,
855,补,bǔ,补充,bǔ chōng,补助,bǔ zhù,
856,杂,zá,复杂,fù zá,杂志,zá zhì,
857,亡,wáng,死亡,sǐ wáng,伤亡,shāng wáng,
858,康,kāng,康复,kāng fù,小康,xiǎo kāng,
859,材,cái,材料,cái liào,题材,tí cái,
860,健,jiàn,健康,jiàn kāng,健全,jiàn quán,
861,练,liàn,训练,xùn liàn,教练,jiào liàn,
862,盟,méng,联盟,lián méng,欧盟,ōu méng,
863,妇,fù,妇女,fù nǚ,夫妇,fū fù,
864,沙,shā / shà,金沙,jīn shā,沙发,shā fā,
865,届,jiè,本届,běn jiè,首届,shǒu jiè,
866,课,kè,课程,kè chéng,课题,kè tí,
867,乱,luàn,动乱,dòng luàn,战乱,zhàn luàn,
868,软,ruǎn,软件,ruǎn jiàn,微软,wēi ruǎn,
869,板,bǎn,老板,lǎo bǎn,地板,dì bǎn,
870,索,suǒ,线索,xiàn suǒ,索尼,suǒ ní,
871,追,zhuī / duī,追求,zhuī qiú,追究,zhuī jiū,
872,湖,hú,江湖,jiāng hú,湖北省,hú běi shěng,
873,暴,bào / pù,暴力,bào lì,风暴,fēng bào,
874,融,róng,金融,jīn róng,融资,róng zī,
875,登,dēng,登记,dēng jì,登陆,dēng lù,
876,售,shòu,销售,xiāo shòu,出售,chū shòu,
877,困,kùn,困难,kùn nán,困境,kùn jìng,
878,圣,shèng / kū,圣经,shèng jīng,神圣,shén shèng,
879,授,shòu,教授,jiào shòu,授权,shòu quán,
880,误,wù,错误,cuò wù,失误,shī wù,
881,梦,mèng,梦想,mèng xiǎng,做梦,zuò mèng,
882,缺,quē,缺少,quē shǎo,缺点,quē diǎn,
883,督,dū,监督,jiān dū,基督教,jī dū jiào,
884,操,cāo,操作,cāo zuò,操控,cāo kòng,
885,味,wèi,味道,wèi dào,意味着,yì wèi zhe,
886,顾,gù,照顾,zhào gù,顾问,gù wèn,
887,页,yè,网页,wǎng yè,页面,yè miàn,
888,遗,yí,遗产,yí chǎn,遗传,yí chuán,
889,礼,lǐ,礼物,lǐ wù,婚礼,hūn lǐ,
890,签,qiān,签名,qiān míng,签证,qiān zhèng,
891,遭,zāo,遭到,zāo dào,遭遇,zāo yù,
892,枪,qiāng,开枪,kāi qiāng,手枪,shǒu qiāng,
893,私,sī,私人,sī rén,走私,zǒu sī,
894,牙,yá,西班牙,xī bān yá,象牙,xiàng yá,
895,吸,xī,吸引,xī yǐn,吸收,xī shōu,
896,础,chǔ,基础,jī chǔ,基础课,jī chǔ kè,
897,毕,bì,毕业,bì yè,完毕,wán bì,
898,封,fēng,封建,fēng jiàn,封面,fēng miàn,
899,币,bì,货币,huò bì,人民币,rén mín bì,
900,宗,zōng,宗教,zōng jiào,教宗,jiào zōng,
901,露,lù / lòu,暴露,bào lù,露出,lù chū,
902,讯,xùn,资讯,zī xùn,通讯,tōng xùn,
903,稳,wěn,稳定,wěn dìng,平稳,píng wěn,
904,宁,níng / nìng,宁愿,nìng yuàn,列宁,liè níng,
905,辑,jí,编辑,biān jí,专辑,zhuān jí,
906,恐,kǒng,恐怕,kǒng pà,反恐,fǎn kǒng,
907,托,tuō,委托,wěi tuō,依托,yī tuō,
908,努,nǔ,努力,nǔ lì,,,
909,曲,qū / qǔ,歌曲,gē qǔ,曲线,qū xiàn,
910,李,lǐ,行李,xíng lǐ,李子,lǐ zi,
911,块,kuài,一块,yī kuài,这块,zhè kuài,
912,爆,bào,爆发,bào fā,引爆,yǐn bào,
913,灵,líng,心灵,xīn líng,灵活,líng huó,
914,守,shǒu,保守,bǎo shǒu,守护,shǒu hù,
915,余,yú,其余,qí yú,余额,yú é,
916,右,yòu,左右,zuǒ yòu,右派,yòu pài,
917,怀,huái,怀疑,huái yí,关怀,guān huái,
918,亦,yì,亦可,yì kě,,,
919,伦,lún,伦理,lún lǐ,多伦多,duō lún duō,
920,季,jì,赛季,sài jì,季节,jì jié,
921,烈,liè,强烈,qiáng liè,激烈,jī liè,
922,衣,yī / yì,衣服,yī fú,内衣,nèi yī,
923,舞,wǔ,舞台,wǔ tái,歌舞,gē wǔ,
924,皇,huáng,皇帝,huáng dì,皇家,huáng jiā,
925,草,cǎo,草案,cǎo àn,草原,cǎo yuán,
926,坐,zuò,坐在,zuò zài,坐下,zuò xià,
927,若,ruò / rě,若干,ruò gān,若有,ruò yǒu,
928,扩,kuò,扩大,kuò dà,扩展,kuò zhǎn,
929,幸,xìng,幸福,xìng fú,幸运,xìng yùn,
930,逐,zhú,逐步,zhú bù,追逐,zhuī zhú,
931,序,xù,程序,chéng xù,序列,xù liè,
932,迎,yíng,欢迎,huān yíng,迎接,yíng jiē,
933,址,zhǐ,网址,wǎng zhǐ,地址,dì zhǐ,
934,竟,jìng,毕竟,bì jìng,竟然,jìng rán,
935,午,wǔ,下午,xià wǔ,上午,shàng wǔ,
936,妹,mèi,妹妹,mèi mèi,姐妹,jiě mèi,
937,禁,jìn / jīn,禁止,jìn zhǐ,不禁,bù jīn,
938,肯,kěn,肯定,kěn dìng,不肯,bù kěn,
939,澳,ào,澳门,ào mén,澳洲,ào zhōu,
940,搞,gǎo,搞笑,gǎo xiào,搞定,gǎo dìng,
941,脸,liǎn,脸上,liǎn shàng,脸书,liǎn shū,
942,鲜,xiān / xiǎn,朝鲜,cháo xiān,新鲜,xīn xiān,
943,亮,liàng,月亮,yuè liàng,亮相,liàng xiàng,
944,苦,kǔ,苦难,kǔ nàn,受苦,shòu kǔ,
